x,y,z,a,b,c,d
220.0016125,250.0030457,10.86493286,0.999994971,-0.004369349,0.002313225,1.55909E-09
219.999984,249.9847949,11.65085675,0.999637612,0.027218655,-0.002425453,0.000259874
219.9315174,249.9637106,12.40490554,0.994124774,0.031845181,-0.103415084,7.62015E-05
219.860574,249.9418648,13.09485464,0.993265118,0.034084504,-0.11069298,8.57725E-05
219.7870941,249.919239,13.72705963,0.992321745,0.036380914,-0.118156997,9.55966E-05
219.7110222,249.8958165,14.30729325,0.99129369,0.038725544,-0.125779063,0.000106827
219.6323083,249.8715824,14.84081181,0.990181421,0.041107695,-0.133527312,0.000123335
219.5509088,249.8465255,15.3323779,0.988986532,0.043514986,-0.141369837,0.000154931
219.4667884,249.8206403,15.78630272,0.987712425,0.04593082,-0.149271568,0.000221644
219.3803877,249.7941007,16.20643151,0.986514141,0.048020344,-0.156362295,0.000523648
219.2912517,249.7667815,16.59630588,0.985120024,0.050318419,-0.164213204,0.000912198
219.1989016,249.7384154,16.95903685,0.983480986,0.053104804,-0.172903743,0.000594825
219.1039729,249.7090811,17.29709603,0.981985052,0.055744284,-0.180397227,-0.000356709
219.0065594,249.6788838,17.61310183,0.980490529,0.058159393,-0.187615336,-0.000824429
218.9041731,249.6473076,17.91258413,0.977997012,0.061406151,-0.199088419,-0.000108844
218.797656,249.6144568,18.19767859,0.975729846,0.064404526,-0.208875597,-0.000169598
218.6861933,249.5798659,18.47200672,0.973023943,0.06822572,-0.219842837,-0.000757663
218.5732856,249.5432952,18.73175485,0.971553785,0.072785818,-0.224709158,-0.005203293
218.4587213,249.5043734,18.97950767,0.969921816,0.078032896,-0.229667368,-0.010980504
218.342199,249.4624595,19.21796885,0.967991309,0.084482792,-0.234837618,-0.019229854
218.2235814,249.4176055,19.44926855,0.965946137,0.090755785,-0.239973851,-0.027210052
218.1027275,249.3697498,19.67553975,0.963748909,0.097048885,-0.245053284,-0.035781939
217.985803,249.3445841,19.85145581,0.96631394,0.052941879,-0.245871878,-0.050913214
217.8747488,249.3179418,19.95907091,0.965449778,0.058882994,-0.24533382,-0.06191024
217.7727078,249.2845529,20,0.967525652,0.0777712,-0.237630163,-0.032032175
217.6746814,249.2540681,20,0.9684364,0.073412886,-0.236020877,-0.026558842
217.5766239,249.2264878,20,0.968860377,0.06643443,-0.236142459,-0.028467808
217.4785653,249.1990263,20,0.968877526,0.066148645,-0.236147032,-0.02851746
217.3805056,249.1716864,20,0.968895027,0.065856584,-0.236151668,-0.028566249
217.2824449,249.1444707,20,0.968912895,0.065558015,-0.236156368,-0.02861409
217.184383,249.1173821,20,0.968931142,0.065252688,-0.23616113,-0.028660889
217.08632,249.0904234,20,0.968949784,0.064940344,-0.236165955,-0.028706544
216.9882559,249.0635977,20,0.968968836,0.064620709,-0.236170842,-0.028750947
216.8901906,249.0369082,20,0.968988313,0.064293492,-0.236175791,-0.028793978
216.7921242,249.010358,20,0.969008232,0.063958387,-0.236180801,-0.028835509
216.6940567,248.9839507,20,0.969028612,0.063615071,-0.23618587,-0.028875402
216.5959881,248.9576898,20,0.969049471,0.0632632,-0.236190998,-0.028913505
216.4979184,248.9315789,20,0.969070829,0.06290241,-0.236196183,-0.028949655
216.3998475,248.905622,20,0.969092707,0.062532319,-0.236201422,-0.028983675
216.3017756,248.8798232,20,0.969115128,0.062152515,-0.236206714,-0.02901537
216.2037025,248.8541865,20,0.969138115,0.061762566,-0.236212055,-0.02904453
216.1056284,248.8287164,20,0.969161694,0.061362009,-0.236217443,-0.029070927
216.0075532,248.8034176,20,0.969185891,0.060950353,-0.236222874,-0.02909431
215.9162781,248.7464103,19.99995651,0.965734594,0.137091964,-0.219499519,0.000128873
215.8249988,248.6893995,19.99995651,0.965733586,0.137095251,-0.219501851,0.000128813
215.7337198,248.6323882,19.99995651,0.965733593,0.137096548,-0.21950101,0.000128822
215.6424412,248.5753764,19.99995651,0.9657336,0.137097872,-0.219500151,0.000128831
215.5511629,248.5183639,19.99995651,0.965733608,0.137099227,-0.219499272,0.000128841
215.459885,248.461351,19.99995651,0.965733616,0.137100612,-0.219498372,0.00012885
215.3686075,248.4043374,19.99995651,0.965733624,0.137102029,-0.21949745,0.00012886
215.2773305,248.3473232,19.99995651,0.965733633,0.13710348,-0.219496506,0.00012887
215.1860538,248.2903084,19.99995651,0.965733642,0.137104966,-0.219495538,0.00012888
215.0947775,248.233293,19.99995651,0.965733652,0.137106489,-0.219494544,0.00012889
215.0035016,248.1762769,19.99995651,0.965733662,0.137108052,-0.219493524,0.000128901
214.9122262,248.1192601,19.99995651,0.965733672,0.137109655,-0.219492476,0.000128912
214.8209512,248.0622427,19.99995651,0.965733684,0.137111302,-0.219491399,0.000128923
214.7296767,248.0052246,19.99995651,0.965733695,0.137112994,-0.21949029,0.000128935
214.6384027,247.9482057,19.99995651,0.965733708,0.137114734,-0.219489148,0.000128947
214.5471291,247.8911861,19.99995651,0.965733721,0.137116526,-0.219487971,0.000128959
214.4558561,247.8341657,19.99995651,0.965733735,0.137118371,-0.219486757,0.000128972
214.3645836,247.7771446,19.99995651,0.96573375,0.137120275,-0.219485502,0.000128985
214.2733116,247.7201226,19.99995651,0.965733766,0.137122239,-0.219484206,0.000128998
214.1820402,247.6630998,19.99995651,0.965733783,0.137124269,-0.219482863,0.000129012
214.0907693,247.6060761,19.99995651,0.965733802,0.137126368,-0.219481472,0.000129027
213.9994991,247.5490515,19.99995651,0.965733821,0.137128543,-0.219480029,0.000129042
213.938832,247.4613564,19.99996159,0.966359921,0.210951741,-0.145930527,4.06995E-05
213.8781655,247.3736616,19.99996158,0.966360037,0.210951719,-0.145929801,4.06994E-05
213.8174993,247.2859667,19.99996159,0.966360044,0.21095204,-0.145929291,4.06947E-05
213.7537589,247.200471,19.99996157,0.966355276,0.205660964,-0.153323705,0.000100903
213.6900191,247.1149748,19.99996157,0.96635529,0.20566192,-0.153322333,0.000100897
213.6262799,247.0294782,19.99996157,0.966355305,0.205662903,-0.153320922,0.00010089
213.5625412,246.9439812,19.99996158,0.966355321,0.205663913,-0.153319469,0.000100884
213.4988032,246.8584838,19.99996158,0.966355338,0.205664953,-0.15331797,0.000100877
213.4350659,246.7729859,19.99996158,0.966355355,0.205666024,-0.153316425,0.00010087
213.3713292,246.6874876,19.99996157,0.966355374,0.205667128,-0.153314828,0.000100863
213.3075932,246.6019888,19.99996158,0.966355394,0.205668268,-0.153313178,0.000100855
213.2438579,246.5164895,19.99996158,0.966355415,0.205669445,-0.153311469,0.000100848
213.1801234,246.4309897,19.99996157,0.966355437,0.205670663,-0.153309698,0.00010084
213.1163896,246.3454893,19.99996158,0.96635546,0.205671924,-0.153307861,0.000100831
213.0526566,246.2599885,19.99996157,0.966355486,0.205673232,-0.153305951,0.000100823
212.9889244,246.174487,19.99996157,0.966355512,0.205674589,-0.153303963,0.000100814
212.9396071,246.0798945,19.99996655,0.966307848,0.227532549,-0.118630923,0.005944641
212.8903298,245.9852874,19.99996655,0.966310741,0.227568806,-0.118535294,0.005997277
212.841094,245.8906647,19.99996655,0.96631373,0.227606585,-0.11843574,0.006052142
212.7919015,245.7960258,19.99996655,0.966316899,0.22764588,-0.118331598,0.006108998
212.7427545,245.7013701,19.99996655,0.966320258,0.227686814,-0.118222512,0.006168006
212.8407432,245.6662777,20,0.96769918,0.084473918,0.235847313,0.021325795
212.9387302,245.6312373,20,0.967708256,0.084350843,0.235848116,0.021396051
213.0367175,245.5962479,20,0.967716991,0.084228286,0.235849641,0.021470582
213.1347051,245.5613104,20,0.967725854,0.084103689,0.235851207,0.021545961
213.2326929,245.5264258,20,0.967734848,0.083976995,0.235852814,0.021622203
213.330681,245.4915948,20,0.967743978,0.083848146,0.235854464,0.021699326
213.4286694,245.4568184,20,0.967753248,0.083717075,0.235856158,0.021777342
213.5266581,245.4220976,20,0.967762659,0.083583721,0.235857898,0.021856269
213.6246471,245.3874339,20,0.967772358,0.083446929,0.23585968,0.021934224
213.7226365,245.3528276,20,0.96778207,0.083308784,0.235861515,0.022014972
213.8206262,245.31828,20,0.967791938,0.083168142,0.2358634,0.022096681
213.9186163,245.2837921,20,0.967801965,0.083024928,0.235865338,0.022179368
214.0166068,245.2493649,20,0.967812156,0.082879061,0.235867329,0.022263051
214.1100413,245.1968054,19.99996091,0.965991214,0.126412824,0.224720375,0.002308776
214.203482,245.1442491,19.99996091,0.965990897,0.126401442,0.224727989,0.002320826
214.2969252,245.0916991,19.99996091,0.965991404,0.126386377,0.224734211,0.002329614
214.390371,245.0391554,19.99996091,0.96599192,0.12637106,0.224740533,0.002338546
214.4838195,244.9866182,19.99996091,0.965992445,0.126355485,0.224746958,0.002347627
214.5772706,244.9340876,19.99996091,0.965992979,0.126339642,0.224753488,0.002356861
214.6707245,244.8815638,19.99996091,0.965993524,0.126323524,0.224760128,0.002366252
214.7641812,244.8290467,19.99996091,0.965994079,0.126307122,0.224766879,0.002375806
214.8576407,244.7765367,19.99996091,0.965994645,0.126290427,0.224773747,0.002385528
214.9511031,244.7240337,19.99996091,0.965995221,0.12627343,0.224780734,0.002395422
215.0445684,244.6715379,19.99996091,0.965995809,0.126256119,0.224787846,0.002405495
215.1380367,244.6190495,19.99996091,0.965996408,0.126238486,0.224795084,0.002415752
215.231508,244.5665685,19.99996092,0.96599702,0.126220519,0.224802455,0.002426199
215.3249824,244.5140952,19.99996092,0.965997644,0.126202207,0.224809962,0.002436842
215.41846,244.4616297,19.99996092,0.965998281,0.126183537,0.224817611,0.002447689
215.5119408,244.4091721,19.99996092,0.965998931,0.126164497,0.224825405,0.002458745
215.6054248,244.3567226,19.99996092,0.965999595,0.126145074,0.224833351,0.002470019
215.6989122,244.3042813,19.99996092,0.966000273,0.126125253,0.224841454,0.002481518
215.792403,244.2518485,19.99996092,0.966000967,0.12610502,0.224849719,0.002493251
215.8861134,244.1999697,19.99996095,0.966047524,0.124775533,0.225382935,0.003248938
215.9798282,244.1481022,19.99996095,0.966048485,0.124748691,0.225393498,0.003263812
216.0735474,244.096246,19.99996096,0.966049467,0.124721275,0.225404281,0.003278995
216.1672712,244.0444015,19.99996096,0.96605047,0.124693259,0.225415294,0.003294494
216.2609995,243.9925689,19.99996096,0.966051497,0.124664619,0.225426544,0.003310321
216.3547326,243.9407486,19.99996096,0.966052548,0.12463533,0.225438041,0.00332649
216.4484706,243.8889407,19.99996096,0.966053624,0.124605365,0.225449795,0.003343014
216.5422135,243.8371456,19.99996096,0.966054726,0.124574696,0.225461816,0.003359907
216.6203865,243.7636812,19.99996544,0.965952221,0.176682524,0.188009823,0.000422199
216.6800665,243.6752747,19.99996186,0.966337923,0.212658696,0.143562872,2.26982E-05
216.7397468,243.5868679,19.99996187,0.966337874,0.212658711,0.143563181,2.27317E-05
216.7935339,243.4938468,19.99995678,0.965838353,0.223702846,0.129351065,-0.001207043
216.8375702,243.397561,19.99997344,0.966761499,0.231652994,0.105951853,-0.01108525
216.8518766,243.2995267,20,0.970641816,0.236307032,0.034498487,-0.023193743
216.8660637,243.2014954,20,0.97065594,0.236304844,0.034211342,-0.023056606
216.8786157,243.1034877,20,0.970845135,0.2362739,0.03027225,-0.020908293
216.8903502,243.0054908,20,0.970931265,0.236259783,0.028302077,-0.019847079
216.901965,242.9074963,20,0.970945138,0.236255985,0.028013819,-0.019629416
216.9134804,242.8095031,20,0.970955278,0.236254184,0.027774284,-0.019495248
216.9248957,242.7115113,20,0.970965437,0.236252359,0.027532821,-0.019359259
216.9362099,242.6135208,20,0.970975617,0.236250507,0.027289389,-0.019221389
216.9474223,242.5155317,20,0.970985813,0.236248631,0.027043979,-0.019081631
216.9585321,242.4175439,20,0.970996027,0.23624673,0.02679657,-0.018939961
216.9695384,242.3195576,20,0.971006255,0.236244805,0.02654714,-0.018796355
216.9804403,242.2215726,20,0.971016498,0.236242855,0.026295669,-0.018650786
216.9910638,242.123608,19.99997833,0.971063269,0.236204797,0.025624841,-0.01764736
216.9996993,242.0256699,19.99997384,0.971245324,0.236164013,0.020831692,-0.014287657
217.008336,241.9277296,19.9999738,0.971241461,0.236167992,0.020834401,-0.014475728
217.0168994,241.82979,19.99997379,0.971247166,0.236166959,0.020657894,-0.014366648
217.0253894,241.7318511,19.99997379,0.971252852,0.236165897,0.020480761,-0.014257259
217.0338056,241.6339131,19.99997379,0.971258529,0.236164829,0.020302623,-0.014146918
217.0421474,241.5359758,19.99997379,0.971264197,0.236163756,0.020123471,-0.014035615
217.0504145,241.4380393,19.99997379,0.971269855,0.236162677,0.019943297,-0.013923342
217.0586065,241.3401036,19.99997379,0.971275503,0.236161592,0.019762091,-0.013810087
217.0667229,241.2421686,19.99997379,0.97128114,0.236160503,0.019579846,-0.013695841
217.0747633,241.1442345,19.99997378,0.971286766,0.236159407,0.019396552,-0.013580594
217.0827272,241.0463011,19.99997378,0.971292379,0.236158307,0.019212199,-0.013464336
217.0906143,240.9483685,19.99997378,0.971297982,0.236157201,0.019026736,-0.013346986
217.0984243,240.8504367,19.99997378,0.971303528,0.236156112,0.018841069,-0.013230085
217.1061565,240.7525056,19.99997378,0.9713091,0.236154998,0.018653495,-0.013110768
217.1138106,240.6545754,19.99997378,0.971314657,0.236153878,0.018464826,-0.012990398
217.1211134,240.5566677,19.9999783,0.971363172,0.236107546,0.017618559,-0.011489427
217.1283433,240.4587609,19.9999783,0.971367956,0.236106587,0.017442814,-0.011376695
217.1355,240.3608548,19.99997829,0.971372687,0.236105749,0.017266315,-0.011263405
217.1425831,240.2629493,19.99997829,0.971377405,0.236104903,0.017088742,-0.011149045
217.1495921,240.1650445,19.99997829,0.971382111,0.236104051,0.016910082,-0.011033599
217.1565588,240.0671382,19.99997618,0.971382432,0.236107944,0.016807977,-0.011074246
217.1634521,239.9692322,19.99997614,0.971386854,0.23610748,0.016630956,-0.010967249
217.170269,239.8713268,19.99997614,0.971391622,0.236106551,0.016446783,-0.010846884
217.1770091,239.7734221,19.99997613,0.971396374,0.236105613,0.016261461,-0.010725349
217.1836719,239.6755181,19.99997613,0.971401111,0.236104667,0.016074979,-0.010602632
